Model,Outcome,Category,ATE,CATE_Mean,CATE_Std,AUUC,Qini,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,PR_AUC,ROC_AUC,F1,Brier,CATE_CalErr,Coverage,IntervalWidth,Pos_CATE_%,Neg_CATE_%,ReliablePos_%,ReliableNeg_%,Uncertain_%,Runtime_s,Memory_MB
TARNet,conversion,STRONG_MODERN,0.0009480127283446,0.0009480127283446,0.0073973338822556,0.0008954606413453,0.1572061626086996,0.0101658865512999,0.0068318639906664,0.0042027270152396,0.0030437726017606,0.0030273187086313,0.2144173106361036,0.954827525087636,0.1175789168838691,0.0025210459381891,0.0004630084702156,,,0.999726744554801,0.0002732554451989,,,,9.6,484.6
CFRNet,conversion,STRONG_MODERN,0.0018279255441285,0.0018279255441285,0.0110921874424979,0.0008962875757536,0.157402515034507,0.0105392878108852,0.007312132619462,0.0042774581902383,0.0030412438532712,0.0030284635444434,0.211923082479321,0.9538472402477935,0.1549180327868852,0.0025433512925489,0.0011217901622966,,,0.9999995231144064,4.768855937154109e-07,,,,17.3,208.5
DragonNet,conversion,STRONG_MODERN,0.0009501669508119,0.0009501669508119,0.0047432595845903,0.0008922480097222,0.1560285963647567,0.0112629060132194,0.0073747572628929,0.0043181931416435,0.0030155965697145,0.0030376819003215,0.2078288750215845,0.9538018258932944,0.1357453372598513,0.0025398740061132,0.0002881007675065,,,0.9993323601687985,0.0006676398312015,,,,7.7,0.0
DESCN-style,conversion,RECENT,0.0012446128113526,0.0012446128113526,0.0077883194163085,0.0008921452982918,0.1558849482664739,0.009801844916231,0.0070646454668461,0.004292849270876,0.003014963250255,0.003047526725856,0.2069491016132371,0.9541830423562466,0.0734446130500758,0.0025291485308006,0.0006089301174584,,,1.0,0.0,,,,8.4,0.0
CHAUN-attn,conversion,RECENT,0.0005945328372179,0.0005945328372179,0.0066113127482971,0.0008766278109021,0.150083926867472,0.0108755442008714,0.0069799021054184,0.0041808678188551,0.0029621609998453,0.0030057980827128,0.212918420129652,0.9518538408712512,0.0571161048689138,0.0025211208793724,0.0004483199463649,,,0.2622141130476375,0.7377844562955813,,,,25.2,962.0
DRA-Net,conversion,PROPOSED,0.0005951836075717,0.0005951836075717,0.0011436869817899,0.0007276728097577,0.0908863674959702,0.0074989981798962,0.0047397805000769,0.0029188331638354,0.0021881916913173,0.0030567741942723,0.1937588652183742,0.943924586363599,0.1242646003730807,0.0025714884089419,0.0003730376536479,1.0,0.120193071160719,1.0,0.0,0.0467023599637376,0.0,0.9532976400362624,104.8,
Naive,visit,CLASSICAL,0.0102915764376119,0.0102915764376119,1.734723475976807e-18,0.0051852324076815,0.0012385370265399,0.0101615002092046,0.0107708875585569,0.0101263805231064,0.0104314468492995,0.0485083357132557,0.0483200815542129,0.5146287325734943,0.0,0.044748119940759,0.0010406521377087,,,1.0,0.0,,,,0.0,0.0
LogisticInteraction,visit,CLASSICAL,0.0074972943655886,0.0074972943655886,0.0412787185411078,0.0083344384302637,0.0765759543848819,0.0865099986310219,0.0608800516823788,0.0374451694236458,0.0277426295209966,0.0473071833549961,0.463323064854315,0.9342295607160848,0.3797501141731478,0.0322871484914808,0.0066441502414146,,,0.4953634798151019,0.5046365201848981,,,,145.4,237.9
S-Learner,visit,META,0.0071138611367599,0.0071138611367599,0.0238747586308296,0.0088761576368641,0.0893438366469751,0.0911381930982074,0.060342602192809,0.0400159528012815,0.0294248823601315,0.0479913812722856,0.5170948767505613,0.9466305955323984,0.4302993589444884,0.0297659450861278,0.0013479892602437,,,0.911410870797863,0.088589129202137,,,,7.5,0.0
T-Learner,visit,META,0.0077741221217693,0.0077741221217693,0.0427833623439736,0.0078036282879031,0.0637025513570788,0.0734108364966879,0.0563428705663709,0.0365363239612347,0.0265725679994948,0.0466757950935508,0.5128337482232633,0.945862681035545,0.4276661812717347,0.0299038934348559,0.0104536812980956,,,0.7547944885378163,0.2452055114621837,,,,7.7,0.0
